Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
IceTipRepairFetchRemoteBranch,"I will fetch repositories to try to find the unknown commit.
  
  matches if:
  - workingCopy referenceCommit isUnknownCommit",,I will fetch repositories to try to find the unknown commit.,,,,,,,,,,,,,,,,,,,,,
SpaceTallyItem,I'm represent an entry in the spaceTally.,I'm represent an entry in the spaceTally.,,I'm represent an entry in the spaceTally.,,,,,,,,,,,,,,,,,,,,
OCASTTranslator,"I visit an abstract syntax tree and generate IR (intermediate representation) instructions for each node by sending the appropriate message to my methodBuilder (an IRBuilder). I hold onto my two subclasses
  OCASTTranslatorForValue for generating instructions for effect and value, and
  OCASTTranslatorForEffect for generating instructions for effect only.
  
  Which one to use depends on the AST nodes and whether the code will only be executed (for effect only) or if the value is used afterwards (for value).
  
  For example, when translating a return, the value to return needs to be pushed on stack, so the valueTranslator is used:
  visitReturnNode: aReturnNode
  valueTranslator visitNode: aReturnNode value.
  methodBuilder returnTop.
  
  Whereas, in #visitMethodNode:, the effectTranslator is used, because no value is pushed on stack at the end of the method body:
  ...effectTranslator visitNode: aMethodNode body..",,"""I visit an abstract syntax tree and generate IR (intermediate representation) instructions for each node by sending the appropriate message to my methodBuilder (an IRBuilder). I hold onto my two subclasses
  OCASTTranslatorForValue for generating instructions for effect and value, and
  OCASTTranslatorForEffect for generating instructions for effect only.",,"Which one to use depends on the AST nodes and whether the code will only be executed (for effect only) or if the value is used afterwards (for value).
  
  For example, when translating a return, the value to return needs to be pushed on stack, so the valueTranslator is used:
  visitReturnNode: aReturnNode
  valueTranslator visitNode: aReturnNode value.
  methodBuilder returnTop.
  
  Whereas, in #visitMethodNode:, the effectTranslator is used, because no value is pushed on stack at the end of the method body:
  ...effectTranslator visitNode: aMethodNode body..""",,,,"I hold onto my two subclasses OCASTTranslatorForValue for generating instructions for effect and value, and OCASTTranslatorForEffect for generating instructions for effect only. Which one to use depends on the AST nodes and whether the code will only be executed (for effect only) or if the value is used afterwards (for value).","I visit an abstract syntax tree and generate IR (intermediate representation) instructions for each node by sending the appropriate message to my methodBuilder (an IRBuilder). I hold onto my two subclasses OCASTTranslatorForValue for generating instructions for effect and value, and OCASTTranslatorForEffect for generating instructions for effect only.",,,,,,,,,,,,,,
LockableTabMorph,I am a tab which can be locked/unlocked with according action and icon,I am a tab which can be locked/unlocked with according action and icon,I am a tab which can be locked/unlocked with according action and icon,I am a tab which can be locked/unlocked with according action and icon,,,,,,,,,,,,,,,,,,,,
RFMethodReification,"I reify the method where the link is installed.
  
  Note: this is the *current* method, that is, the one that has the code of the link.
  
  it is the same that you would get with ""thisContext method"", without the need to access the context (which is slow)",,I reify the method where the link is installed.,,,,,,,,,,,,"Note: this is the *current* method, that is, the one that has the code of the link.","it is the same that you would get with ""thisContext method"", without the need to access the context (which is slow)",,,,,,,,
TonelCommentScanner,I scan comments.,,I scan comments.,,,,,,,,,,,,,,,,,,,,,
WeakRegistryTest,A trait for test purposes,A trait for test purposes,A trait for test purposes,,,,,,,,,,,,,,,,,,,,,
PointerLayout,I am the superclass for all layouts with Slots.,I am the superclass for all layouts with Slots.,I am the superclass for all layouts with Slots.,I am the superclass for all layouts with Slots.,,,,,,I am the superclass for all layouts with Slots.,,,,,,,,,,,,,,
ManifestSystemLocalization,Localization support,,Localization support,,,,,,,,,,,,,,,,,,,,,
StrikeFontStoredSetting,I am responsible for storing information about StrikeFont objects.,,I am responsible for storing information about StrikeFont objects.,I am responsible for storing information about StrikeFont objects.,,,,,,I am responsible for storing information about StrikeFont objects.,,,,,,,,,,,,,,
OSTouchOneFingerHoldEvent,One finger is down and has not moved on the screen,,One finger is down and has not moved on the screen,,,,,,,,,,,,,,,,,,One finger is down and has not moved on the screen,,,
MCClassDefinition,A MCClassDefinition represents a class.,A MCClassDefinition represents a class.,,,,,,,,,,,,,,,,,,,,,,
DualChangeSorterApplication,"A DualChangeSorterApplication is a dual change sorter based on spec.
  
  DualChangeSorter shares the model between its two subcomponents (ChangeSorterApplication).
  ChangeSorterModel defines the application logic.","""A DualChangeSorterApplication is a dual change sorter based on spec.","DualChangeSorter shares the model between its two subcomponents (ChangeSorterApplication).
  ChangeSorterModel defines the application logic.""","DualChangeSorter shares the model between its two subcomponents (ChangeSorterApplication).
  ChangeSorterModel defines the application logic.",,,,,,,,,,,,,,,,,,,,
ClyCritiqueMenuItemMorph,I simulate the functionality of MenuItemMorph while providing more sophisticated visualization for rubric annotations,,I simulate the functionality of MenuItemMorph while providing more sophisticated visualization for rubric annotations,,,,,,,I simulate the functionality of MenuItemMorph while providing more sophisticated visualization for rubric annotations,,,,,,,,,,,,,,
FillStyleBorder,BorderStyle supporting general (potentially composite) fillstyles.,BorderStyle supporting general (potentially composite) fillstyles,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
EncoderForV3,"I add behaviour to Encoder to size and emit bytecodes for the Squeak V3.x VM bytecode set, a close variant of the original Smalltalk-80 bytecode set defined in the Blue Book.
 
 Bytecode set specification:
 
  0-15 0000iiii Push Receiver Variable #iiii
  16-31 0001iiii Push Temporary Location #iiii
  32-63 001iiiii Push Literal Constant #iiiii
  64-95 010iiiii Push Literal Variable #iiiii
  96-103 01100iii Pop and Store Receiver Variable #iii
  104-111 01101iii Pop and Store Temporary Location #iii
  112-119 01110iii Push (receiver, true, false, nil, -1, 0, 1, 2) [iii]
  120-123 011110ii Return (receiver, true, false, nil) [ii] From Message
  124-125 0111110i Return Stack Top From (Message, Block) [i]
  (126-127 unassigned)
  128 10000000 jjkkkkkk Push (Receiver Variable, Temporary Location, Literal Constant, Literal Variable) [jj] #kkkkkk
  129 10000001 jjkkkkkk Store (Receiver Variable, Temporary Location, Illegal, Literal Variable) [jj] #kkkkkk
  130 10000010 jjkkkkkk Pop and Store (Receiver Variable, Temporary Location, Illegal, Literal Variable) [jj] #kkkkkk
  131 10000011 jjjkkkkk Send Literal Selector #kkkkk With jjj Arguments
  132 10000100 iiijjjjj kkkkkkkk (Send, Send Super, Push Receiver Variable, Push Literal Constant, Push Literal Variable, Store Receiver Variable, Store-Pop Receiver Variable, Store Literal Variable)[iii] #kkkkkkkk jjjjj (for sends jjjjj = numArgs)
  133 10000011 jjjkkkkk Send Literal Selector #kkkkk To Superclass With jjj Arguments
  134 10000011 jjjkkkkk Send Literal Selector #kkkkk With jjj Arguments
  135 10000111 Pop Stack Top
  136 10001000 Duplicate Stack Top
  137 10001001 Push Active Context
  138 10001010 jkkkkkkk Push (Array new: kkkkkkk) (j = 0)
  or Pop kkkkkkk elements into: (Array new: kkkkkkk) (j = 1)
  139 10001011 kkkkkkkk jjjjjjjj Invoke primitive number jjjjjjjjkkkkkkkk
  140 10001100 kkkkkkkk jjjjjjjj Push Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  141 10001101 kkkkkkkk jjjjjjjj Store Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  142 10001110 kkkkkkkk jjjjjjjj Pop and Store Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  143 10001111 llllkkkk jjjjjjjj iiiiiiii Push Closure Num Copied llll Num Args kkkk BlockSize jjjjjjjjiiiiiiii
  144-151 10010iii Jump iii + 1 (i.e., 1 through 8)
  152-159 10011iii Pop and Jump 0n False iii +1 (i.e., 1 through 8)
  160-167 10100iii jjjjjjjj Jump(iii - 4) *256+jjjjjjjj
  168-171 101010ii jjjjjjjj Pop and Jump On True ii *256+jjjjjjjj
  172-175 101011ii jjjjjjjj Pop and Jump On False ii *256+jjjjjjjj
  176-191 1011iiii Send Arithmetic Message #iiii
  192-207 1100iiii Send Special Message #iiii
  208-223 1101iiii Send Literal Selector #iiii With No Arguments
  224-239 1110iiii Send Literal Selector #iiii With 1 Argument
  240-255 1111iiii Send Literal Selector #iiii With 2 Arguments",,"""I add behaviour to Encoder to size and emit bytecodes for the Squeak V3.x VM bytecode set, a close variant of the original Smalltalk-80 bytecode set defined in the Blue Book.",,,"Bytecode set specification:
  
  0-15 0000iiii Push Receiver Variable #iiii
  16-31 0001iiii Push Temporary Location #iiii
  32-63 001iiiii Push Literal Constant #iiiii
  64-95 010iiiii Push Literal Variable #iiiii
  96-103 01100iii Pop and Store Receiver Variable #iii
  104-111 01101iii Pop and Store Temporary Location #iii
  112-119 01110iii Push (receiver, true, false, nil, -1, 0, 1, 2) [iii]
  120-123 011110ii Return (receiver, true, false, nil) [ii] From Message
  124-125 0111110i Return Stack Top From (Message, Block) [i]
  (126-127 unassigned)
  128 10000000 jjkkkkkk Push (Receiver Variable, Temporary Location, Literal Constant, Literal Variable) [jj] #kkkkkk
  129 10000001 jjkkkkkk Store (Receiver Variable, Temporary Location, Illegal, Literal Variable) [jj] #kkkkkk
  130 10000010 jjkkkkkk Pop and Store (Receiver Variable, Temporary Location, Illegal, Literal Variable) [jj] #kkkkkk
  131 10000011 jjjkkkkk Send Literal Selector #kkkkk With jjj Arguments
  132 10000100 iiijjjjj kkkkkkkk (Send, Send Super, Push Receiver Variable, Push Literal Constant, Push Literal Variable, Store Receiver Variable, Store-Pop Receiver Variable, Store Literal Variable)[iii] #kkkkkkkk jjjjj (for sends jjjjj = numArgs)
  133 10000011 jjjkkkkk Send Literal Selector #kkkkk To Superclass With jjj Arguments
  134 10000011 jjjkkkkk Send Literal Selector #kkkkk With jjj Arguments
  135 10000111 Pop Stack Top
  136 10001000 Duplicate Stack Top
  137 10001001 Push Active Context
  138 10001010 jkkkkkkk Push (Array new: kkkkkkk) (j = 0)
  or Pop kkkkkkk elements into: (Array new: kkkkkkk) (j = 1)
  139 10001011 kkkkkkkk jjjjjjjj Invoke primitive number jjjjjjjjkkkkkkkk
  140 10001100 kkkkkkkk jjjjjjjj Push Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  141 10001101 kkkkkkkk jjjjjjjj Store Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  142 10001110 kkkkkkkk jjjjjjjj Pop and Store Temp At kkkkkkkk In Temp Vector At: jjjjjjjj
  143 10001111 llllkkkk jjjjjjjj iiiiiiii Push Closure Num Copied llll Num Args kkkk BlockSize jjjjjjjjiiiiiiii
  144-151 10010iii Jump iii + 1 (i.e., 1 through 8)
  152-159 10011iii Pop and Jump 0n False iii +1 (i.e., 1 through 8)
  160-167 10100iii jjjjjjjj Jump(iii - 4) *256+jjjjjjjj
  168-171 101010ii jjjjjjjj Pop and Jump On True ii *256+jjjjjjjj
  172-175 101011ii jjjjjjjj Pop and Jump On False ii *256+jjjjjjjj
  176-191 1011iiii Send Arithmetic Message #iiii
  192-207 1100iiii Send Special Message #iiii
  208-223 1101iiii Send Literal Selector #iiii With No Arguments
  224-239 1110iiii Send Literal Selector #iiii With 1 Argument
  240-255 1111iiii Send Literal Selector #iiii With 2 Arguments""",,,,,,,,,,,,,,,,,,
IceTipGitHubRepositoryPanel,I'm a presenter to define a new remote repository from a github repository (owner/project).,I'm a presenter to define a new remote repository from a github repository (owner/project).,I'm a presenter to define a new remote repository from a github repository (owner/project).,,,,,,,,,,,,,,,,,,,,,
OSTouchActionPointerEvent,"Superclass of all the pointer Event
  Can be a finger or something else.",Superclass of all the pointer Event Can be a finger or something else.,,Superclass of all the pointer Event,,,,,,,,,,,,,,,,,,,,
ExpanderMorphContracted,"I am an Announcement that occurs when an ExpanderMorph is contracted (rolled-up).
  
  Example where visibility of another UI component depends on the expanded/contracted state of Expander 2
  
  |builder expanders ex1 ex2 text list row|
  builder := UITheme builder.
  expanders := builder newColumn: {
  ex1 := builder newExpander: 'Expander 1'.
  ex2 := builder newExpander: 'Expander 2'}.
  expanders
  width: 100;
  hResizing: #rigid.
  text := builder
  newTextEditorFor: (ValueHolder new contents: 'Some text')
  getText: #contents setText: #contents:.
  list := (builder
  newListFor: (ListModel new list: #('One' 'Two' 'Three' 'Four'); selectionIndex: 3)
  list: #list selected: #selectionIndex changeSelected: #selectionIndex:
  help: 'This is a list')
  minWidth: 120;
  visible: false;
  disableTableLayout: true.
  ex2 announcer
  when: ExpanderMorphContracted do: [list hide; disableTableLayout: true];
  when: ExpanderMorphExpanded do: [list show; disableTableLayout: false].
  row := builder newRow: {
  expanders.
  (builder newRow: {text. list})
  vResizing: #spaceFill}.",I am an Announcement that occurs when an ExpanderMorph is contracted (rolled-up).,,I am an Announcement that occurs when an ExpanderMorph is contracted (rolled-up).,,,,,,,"Example where visibility of another UI component depends on the expanded/contracted state of Expander 2
  
  |builder expanders ex1 ex2 text list row|
  builder := UITheme builder.
  expanders := builder newColumn: {
  ex1 := builder newExpander: 'Expander 1'.
  ex2 := builder newExpander: 'Expander 2'}.
  expanders
  width: 100;
  hResizing: #rigid.
  text := builder
  newTextEditorFor: (ValueHolder new contents: 'Some text')
  getText: #contents setText: #contents:.
  list := (builder
  newListFor: (ListModel new list: #('One' 'Two' 'Three' 'Four'); selectionIndex: 3)
  list: #list selected: #selectionIndex changeSelected: #selectionIndex:
  help: 'This is a list')
  minWidth: 120;
  visible: false;
  disableTableLayout: true.
  ex2 announcer
  when: ExpanderMorphContracted do: [list hide; disableTableLayout: true];
  when: ExpanderMorphExpanded do: [list show; disableTableLayout: false].
  row := builder newRow: {
  expanders.
  (builder newRow: {text. list})
  vResizing: #spaceFill}.",,,,,,,,,,,,,
ClyInheritedMethodGroup,"I am group of inherited methods.
  Depending on my query I include methods from on or all traits and superclasses which are inherited by given classes.
  
  I can be expanded by subgroups of each inherited class. It will be also my instances but they will be configured by single class scope method query.
  
  In the browser I provide few checkboxes to switch method visibility. It is based on my visibilityLevels, collection of ClyMethodVisibilityLevel instances.
  They are extended by plugins. For example Traits plugin adds local trait visibility level.
  
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  visibilityLevels: <Collection of<ClyMethodVisibilityLevel>>","""I am group of inherited methods.","Depending on my query I include methods from on or all traits and superclasses which are inherited by given classes.
  
  I can be expanded by subgroups of each inherited class. It will be also my instances but they will be configured by single class scope method query.
  
  In the browser I provide few checkboxes to switch method visibility. It is based on my visibilityLevels, collection of ClyMethodVisibilityLevel instances.
  They are extended by plugins. For example Traits plugin adds local trait visibility level.","It is based on my visibilityLevels, collection of ClyMethodVisibilityLevel instances.",,,"Instance Variables
  visibilityLevels: <Collection of<ClyMethodVisibilityLevel>>",,,,,,,,,,,They are extended by plugins. For example Traits plugin adds local trait visibility level.,,,,,,
TextDoIt,A doIt action on a text. When the text is clicked the text is seen as source code and evaluated,A doIt action on a text.,When the text is clicked the text is seen as source code and evaluated,,,,,,,,,,,,,,,,,,,,,
ModificationForbidden,"This exception is raised when mutating a read-only object.
  
  My instances have 4 fields to be able to reproduce the modification through retryModification method.
  
  object <Object> read-only object that the code attempted to mutate
  index <SmallInteger> index of the field in the object mutated, relevant for the corresponding selector
  value <Object> value that was attempted to be stored into the read-only object
  selector <Symbol> selector that can be used to reproduce the mutation (typically, #at:put:, #instVarAt:put:, etc.)","""This exception is raised when mutating a read-only object.","My instances have 4 fields to be able to reproduce the modification through retryModification method.
  
  object <Object> read-only object that the code attempted to mutate
  index <SmallInteger> index of the field in the object mutated, relevant for the corresponding selector
  value <Object> value that was attempted to be stored into the read-only object
  selector <Symbol> selector that can be used to reproduce the mutation (typically, #at:put:, #instVarAt:put:, etc.)",,,"My instances have 4 fields to be able to reproduce the modification through retryModification method.
  
  object <Object> read-only object that the code attempted to mutate
  index <SmallInteger> index of the field in the object mutated, relevant for the corresponding selector
  value <Object> value that was attempted to be stored into the read-only object
  selector <Symbol> selector that can be used to reproduce the mutation (typically, #at:put:, #instVarAt:put:, etc.)","object <Object> read-only object that the code attempted to mutate
  index <SmallInteger> index of the field in the object mutated, relevant for the corresponding selector
  value <Object> value that was attempted to be stored into the read-only object
  selector <Symbol> selector that can be used to reproduce the mutation (typically, #at:put:, #instVarAt:put:, etc.)",,,,,,,,,,,,,,,,,
ManifestCollectionsStrings,"Contains String, ByteString, Symbol, ByteSymbol, WideSymbol and WideString",,"Contains String, ByteString, Symbol, ByteSymbol, WideSymbol and WideString","Contains String, ByteString, Symbol, ByteSymbol, WideSymbol and WideString",,,,,,"Contains String, ByteString, Symbol, ByteSymbol, WideSymbol and WideString",,,,,,,,,,,,,,
MetacelloCommandLineHandler,"Command line handler for dealing with Metacello from the command line.
  
  Usage:
  metacello --help
  metacello install <repository url> (<baseline>|<configuration>) [--version=<version>] [--groups=<group name>,...] [--no-quit] [--no-save]
  <repository url> A Monticello repository name
  <baseline> A valid Metacello Baseline name
  <configuration> A valid Metacello Configuration name
  <version> A valid version for the given Configuration (incompatible with Baseline)
  <group name> A valid Metacello group name(s)
  --help Show this help message
  --no-quit Keep the image running after Baseline/Configuration install
  --no-save Don't save the image after Baseline/Configuration install
  
  Examples:
  # Display this help message
  pharo Pharo.image metacello OR pharo Pharo.image metacello --help
  
  # Install group 'Core' and 'Tests' of latest version
  pharo Pharo.image metacello install $REPOS_URL BaselineOfFoo --groups=Core,Tests
  
  # Install a specific version '1.5' and only a specific group 'Tests'
  pharo Pharo.image metacello install $REPOS_URL ConfigurationOfFoo --version=1.5 --groups=Tests",Command line handler for dealing with Metacello from the command line.,for dealing with Metacello from the command line.,,,,,,,,"Usage:
  metacello --help
  metacello install <repository url> (<baseline>|<configuration>) [--version=<version>] [--groups=<group name>,...] [--no-quit] [--no-save]
  <repository url> A Monticello repository name
  <baseline> A valid Metacello Baseline name
  <configuration> A valid Metacello Configuration name
  <version> A valid version for the given Configuration (incompatible with Baseline)
  <group name> A valid Metacello group name(s)
  --help Show this help message
  --no-quit Keep the image running after Baseline/Configuration install
  --no-save Don't save the image after Baseline/Configuration install
  
  Examples:
  # Display this help message
  pharo Pharo.image metacello OR pharo Pharo.image metacello --help
  
  # Install group 'Core' and 'Tests' of latest version
  pharo Pharo.image metacello install $REPOS_URL BaselineOfFoo --groups=Core,Tests
  
  # Install a specific version '1.5' and only a specific group 'Tests'
  pharo Pharo.image metacello install $REPOS_URL ConfigurationOfFoo --version=1.5 --groups=Tests",,,,,,,,,,,,,
Integer,"I am a common abstract superclass for all Integer implementations. My implementation subclasses are SmallInteger, LargePositiveInteger, and LargeNegativeInteger.
  
  Integer division consists of:
  / exact division, answers a fraction if result is not a whole integer
  // answers an Integer, rounded towards negative infinity
  \\ is modulo rounded towards negative infinity
  quo: truncated division, rounded towards zero","""I am a common abstract superclass for all Integer implementations.",,,"/ exact division, answers a fraction if result is not a whole integer
  // answers an Integer, rounded towards negative infinity
  \\ is modulo rounded towards negative infinity
  quo: truncated division, rounded towards zero","Integer division consists of: / exact division, answers a fraction if result is not a whole integer // answers an Integer, rounded towards negative infinity \\ is modulo rounded towards negative infinity quo: truncated division, rounded towards zero""",,,"My implementation subclasses are SmallInteger, LargePositiveInteger, and LargeNegativeInteger.",,,,,,,,,,,,,,,
RBIfTrueReturnsRule,Checks for common ifTrue: returns that could be simplified using a boolean expression.,,Checks for common ifTrue: returns that could be simplified using a boolean expression.,,,,,,,,,,,,,,,,,,,,,
CannotDecompileNativeBoostCalls,Notify that a method can not be decompiled because of a native boost call,,Notify that a method can not be decompiled because of a native boost call,,,,,,,,,,,,,,,,,,,,,
KMKeymapTest,SUnit tests for the key map,SUnit tests,,for the key map,,,,,,,,,,,,,,,,,,SUnit tests for the key map,,
BISettingPreviewer,"Preview to see the effect of a setting on the behavior of the pretty printer.
  
  self new openWithSpec","Preview to see the effect of a setting on the behavior of the pretty printer.
  
  self new openWithSpec","Preview to see the effect of a setting on the behavior of the pretty printer.
  
  self new openWithSpec",,,,,,,,,,,,,,,,,,,,,
SparseLargeArray,A version of SparseLargeTable that does not populate its bins until a value other than the default is stored.!,A version of SparseLargeTable that does not populate its bins until a value other than the default is stored.!,A version of SparseLargeTable that does not populate its bins until a value other than the default is stored.!,,,,,,,A version of SparseLargeTable that does not populate its bins until a value other than the default is stored.!,,,,,,,,,,,,,,
TraitAlias,"It is kept for compatibility with extension methods
  Check the class TaAbstractComposition for the new implementation.",,It is kept for compatibility with extension methods Check the class TaAbstractComposition for the new implementation.,,It is kept for compatibility with extension methods Check the class TaAbstractComposition for the new implementation.,,,Check the class TaAbstractComposition for the new implementation.,,,,,,,,,,,,,,,,
ClyOldMessageBrowserQuery,"I am a special query which is based on constant list of methods or class comments.
  
  I am introduced to support old (current) approach for system queries which is based on SystemNavigation collecting list of methods.
  
  I am used by ClyOldMessageBrowserAdapter which is installed as default as part of Calypso toolset.
  
  I implement semantics of old MessageBrowser.
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  criteriaBlock: <BlockClosure>
  criteriaString: <String>
  extraMethods: <Collection of<CompiledMethod>>","""I am a special query which is based on constant list of methods or class comments.",I am introduced to support old (current) approach for system queries which is based on SystemNavigation collecting list of methods.,"I am used by ClyOldMessageBrowserAdapter which is installed as default as part of Calypso toolset.
  
  I implement semantics of old MessageBrowser.",,,"Internal Representation and Key Implementation Points.
  
  Instance Variables
  criteriaBlock: <BlockClosure>
  criteriaString: <String>
  extraMethods: <Collection of<CompiledMethod>>""",,,"I am used by ClyOldMessageBrowserAdapter which is installed as default as part of Calypso toolset.
  
  I implement semantics of old MessageBrowser.",,,,,,,,,,,,,,
EpBehaviorNameChange,I represent a rename of a class or a trait.,I represent a rename of a class or a trait.,,,,,,,,,,,,,,,,,,,,,,
BalloonMorph,"A balloon with text used for the display of explanatory information.
  
  Balloon help is integrated into Morphic as follows:
  If a Morph has the property #balloonText, then it will respond to #showBalloon by adding a text balloon to the world, and to #deleteBalloon by removing the balloon.
  
  Moreover, if mouseOverEnabled is true (see class msg), then the Hand will arrange to cause display of the balloon after the mouse has lingered over the morph for a while, and removal of the balloon when the mouse leaves the bounds of that morph. In any case, the Hand will attempt to remove any such balloons before handling mouseDown events, or displaying other balloons.
  
  Balloons should not be duplicated with veryDeepCopy unless their target is also duplicated at the same time.","""A balloon with text used for the display of explanatory information.","""A balloon with text used for the display of explanatory information.",,"If a Morph has the property #balloonText, then it will respond to #showBalloon by adding a text balloon to the world, and to #deleteBalloon by removing the balloon.","Balloon help is integrated into Morphic as follows: If a Morph has the property #balloonText, then it will respond to #showBalloon by adding a text balloon to the world, and to #deleteBalloon by removing the balloon. Moreover, if mouseOverEnabled is true (see class msg), then the Hand will arrange to cause display of the balloon after the mouse has lingered over the morph for a while, and removal of the balloon when the mouse leaves the bounds of that morph. In any case, the Hand will attempt to remove any such balloons before handling mouseDown events, or displaying other balloons. Balloons should not be duplicated with veryDeepCopy unless their target is also duplicated at the same time.""",,"(see class msg),",,,,,,,Balloons should not be duplicated with veryDeepCopy unless their target is also duplicated at the same time.,,,,,,,,,
ShiftClassInstaller,"I am the responsible of installing a class in the system.
  
  I interact with the ShiftClassBuilder to generate the classes.
  You can use me as in:
  
  Smalltalk classInstaller make: [ :aBuilder |
  aBuilder
  superclass: Object;
  name: #MyClass;
  slots: #(varA varB);
  category: 'My-Category' ].
  
  See that I should never be referenced directly, only through the accesor
  in Smalltalk or in any class in the system.
  
  The block passed is used to configure the builder. Check ShiftClassBuilder to see the available messages.
  
  I have a subclass to anonymous generate classes, without registering in the environment.","""I am the responsible of installing a class in the system.",I interact with the ShiftClassBuilder to generate the classes.,I interact with the ShiftClassBuilder to generate the classes.,,,,Check ShiftClassBuilder to see the available messages.,"I have a subclass to anonymous generate classes, without registering in the environment.""",I interact with the ShiftClassBuilder to generate the classes.,"You can use me as in:
  
  Smalltalk classInstaller make: [ :aBuilder |
  aBuilder
  superclass: Object;
  name: #MyClass;
  slots: #(varA varB);
  category: 'My-Category' ].
  
  See that I should never be referenced directly, only through the accesor
  in Smalltalk or in any class in the system.
  
  The block passed is used to configure the builder. Check ShiftClassBuilder to see the available messages.",,,,"See that I should never be referenced directly, only through the accesor in Smalltalk or in any class in the system.",,,,,,,,,
TickingWindowModel,This is deprecated class because the original class TickingWindowModel was renamed to TickingWindowPresenter. You should stop to use this class and modify your code to use TickingWindowPresenter.,,,,,,,,,,,,,,,,,,,,,,,This is deprecated class because the original class TickingWindowModel was renamed to TickingWindowPresenter. You should stop to use this class and modify your code to use TickingWindowPresenter.
GLMMorphicPagerRenderer,A GLMMorphicPagerRenderer is xxxxxxxxx.,,,,,,,,,,,,,,,,,,,,,,,
ClyClassContextOfFullBrowser,I am a context of selected classes in full browser,I am a context of selected classes in full browser,,,,,,,,,,,,,,,,,,,,,,
OmSessionStoreUpdated,I am announced when a OmSessionStore updated its current #store.,,I am announced when a OmSessionStore updated its current #store.,I am announced when a OmSessionStore updated its current #store.,,,I am announced when a OmSessionStore updated its current #store.,,,I am announced when a OmSessionStore updated its current #store.,,,,,,,,,,,I am announced when a OmSessionStore updated its current #store.,,,
CNGBTextConverter,"Text converter for Simplified Chinese variation of EUC. (Even though the name doesn't look so, it is what it is.)",Text converter for Simplified Chinese variation of EUC.,,,,,,,,,,,Text converter for Simplified Chinese variation of EUC.,,,"(Even though the name doesn't look so, it is what it is.)",,,,,,,,
VTermTestRunner,"I am command line test runner.
  I run a TestSuite and outpout the progress in a terminal friendly way with XTerm characters.","""I am command line test runner.","I run a TestSuite and outpout the progress in a terminal friendly way with XTerm characters.""",I run a TestSuite,,,,,,,,,,,,,,,,,,,,
ShAbstractClassBuilderTest,Abstract Test class for the Shift Class Builder tests,Abstract Test class for the Shift Class Builder tests,Abstract Test class for the Shift Class Builder tests,Abstract Test class for the Shift Class Builder tests,,,,,,,,,,,,,,,,,,,,
OCThisContextVariable,I model thisContext variables,,I model thisContext variables,,,,,,,,,,,,,,,,,,,,,
ReAbstractRule,"I an the root of all quality rules rules.
  
  If you want to learn about the features of rules or how to create your own, please read:
  
  RenrakuRuleHelp readInHelpBrowser","""I an the root of all quality rules rules.",,,,,,"If you want to learn about the features of rules or how to create your own, please read:
  
  RenrakuRuleHelp readInHelpBrowser""",,,,,,,,,,,,,,,,
ClyFindMethodInBrowserCommand,"I am a command to find method in methodView of full browser.
  I request user with search dialog using method view query.
  So dialog shows all methods from method view panel.
  
  By default I am activated by cmd+f.",I am a command to find method in methodView of full browser.,"I am a command to find method in methodView of full browser.
  I request user with search dialog using method view query.
  So dialog shows all methods from method view panel.",,,,,,,,By default I am activated by cmd+f.,,,,,,,,,,,,,
EmptyLayout,Empty top-level layout used to delimit the layout chains.,Empty top-level layout used to delimit the layout chains.,Empty top-level layout used to delimit the layout chains.,,,,,,,,,,,,,,,,,,,,,
ReTestClassNotInPackageWithTestEndingName,A subclass of TestCase should be in package which name is ending with '-Tests',,,A subclass of TestCase should be in package which name is ending with '-Tests',,A subclass of TestCase should be in package which name is ending with '-Tests',,,,A subclass of TestCase should be in package which name is ending with '-Tests',,,,,,,,,,,,,,
